OBJECTID,ULAND,UREGBEZ,UKREIS,UGEMEINDE,UJAHR,UMONAT,USTUNDE,UWOCHENTAG,UKATEGORIE,UART,UTYP1,ULICHTVERH,IstRad,IstPKW,IstFuss,IstKrad,IstGkfz,IstSonstig,USTRZUSTAND,LINREFX,LINREFY,XGCSWGS84,YGCSWGS84
249093,5,5,15,0,2019,9,16,2,3,0,2,0,1,0,0,0,0,0,0,"406210,307320639490000","5757436,308135060600000","7,635004238000022","51,959703595000065"
249233,5,5,15,0,2019,9,19,7,3,5,3,1,1,1,0,0,0,0,0,"403011,313718083310000","5758689,857926718900000","7,588107719000050","51,970422043000042"
249389,5,5,15,0,2019,9,19,5,3,0,7,0,1,1,0,0,0,0,0,"407103,263178099880000","5758416,130252815800000","7,647731149000038","51,968660643000078"
249390,5,5,15,0,2019,9,7,5,2,0,7,1,1,0,0,0,0,0,1,"407088,145628007130000","5758391,460129590700000","7,647517830000027","51,968436369000074"
249481,5,5,15,0,2019,9,18,6,3,0,1,1,1,0,0,0,0,0,0,"399225,352986459620000","5756498,165930045800000","7,533656545000042","51,950049417000059"
249484,5,5,15,0,2019,9,15,4,3,5,3,0,1,1,0,0,0,0,0,"405050,047683762390000","5758360,130532901700000","7,617867915000034","51,967810352000072"
249485,5,5,15,0,2019,9,8,6,3,0,3,0,1,1,0,0,0,0,0,"408831,086842614230000","5755968,713690251100000","7,673524685000075","51,946947858000044"
249494,5,5,15,0,2019,9,16,6,3,0,5,0,1,1,0,0,0,0,0,"405119,137601585130000","5758131,192463327200000","7,618936565000070","51,965764364000052"
249618,5,5,15,0,2019,10,17,3,3,5,3,0,1,1,0,0,0,0,1,"401220,869148833680000","5758559,638018995500000","7,562089961000027","51,968936287000076"
249705,5,5,15,0,2019,9,16,2,3,2,7,0,1,0,0,0,0,0,1,"404246,802526764570000","5758440,522966969800000","7,606156839000050","51,968395158000078"
249801,5,5,15,0,2019,9,15,7,2,5,2,0,1,1,0,0,0,0,0,"405102,611481679600000","5757684,229910802100000","7,618819599000062","51,961744065000062"
249876,5,5,15,0,2019,10,1,1,3,0,1,2,1,0,0,0,0,0,0,"406095,607554780320000","5757509,472507458200000","7,633315433000064","51,960341871000026"
